program_key,college,program,publish_default,data_quality_status,issues,required_next_action,source_urls
PROG-V5-001,"COEP Technological University, Pune",Computer Engineering / Computer Science Engg.,no,PARTIAL_NOT_PUBLIC,hidden_by_default,Resolve listed issues before public scoring.,https://www.coeptech.ac.in/wp-content/uploads/2025/08/Placement-Data-for-2024-2025.pdf | https://www.coeptech.ac.in/wp-content/uploads/2025/08/Placement-Statistics-2024-25.pdf | https://www.coeptech.ac.in/wp-content/uploads/2025/04/Cutoff-Round-1-COEP-Tech.pdf
PROG-V5-002,VJTI Mumbai,B.Tech Computer Engineering,no,PARTIAL_NOT_PUBLIC,hidden_by_default,Resolve listed issues before public scoring.,https://vjti.ac.in/wp-content/uploads/2025/06/UG-Placement-report-AY-2024-25.pdf
PROG-V5-003,SPIT Mumbai,COMP,no,PARTIAL_NOT_PUBLIC,hidden_by_default; missing_verified_cutoff_row,Resolve listed issues before public scoring.,https://placements.spit.ac.in/assets/2025_summary-DqkohFsi.pdf
PROG-V5-004,SPIT Mumbai,CSE-AIML,yes,PILOT_SCORE_READY_VERIFIED,no_blocking_issue_for_pilot,Can be used in local pilot only; still needs final review before public launch.,https://placements.spit.ac.in/assets/2025_summary-DqkohFsi.pdf
PROG-V5-005,SPIT Mumbai,CSE-DS,no,PARTIAL_NOT_PUBLIC,hidden_by_default; missing_verified_cutoff_row,Resolve listed issues before public scoring.,https://placements.spit.ac.in/assets/2025_summary-DqkohFsi.pdf
PROG-V5-006,"D. J. Sanghvi College of Engineering, Mumbai",Computer Engineering,no,PARTIAL_NOT_PUBLIC,hidden_by_default; admission_manual_verification_required,Resolve listed issues before public scoring.,https://www.djsce.ac.in/docs/placements/placement%2024-25%20report%20-%2004-08-25.pdf | https://www.djsce.ac.in/docs/ILS%20FE%20Admissions%202025-26%20Fees%20Notice.pdf | https://fe2025.mahacet.org/CAP-I/CAPR-I_03199.pdf
PROG-V5-007,"D. J. Sanghvi College of Engineering, Mumbai",Information Technology,no,PARTIAL_NOT_PUBLIC,hidden_by_default; admission_manual_verification_required,Resolve listed issues before public scoring.,https://www.djsce.ac.in/docs/placements/placement%2024-25%20report%20-%2004-08-25.pdf | https://www.djsce.ac.in/docs/ILS%20FE%20Admissions%202025-26%20Fees%20Notice.pdf
PROG-V5-008,"D. J. Sanghvi College of Engineering, Mumbai",CSE - Data Science,no,PARTIAL_NOT_PUBLIC,hidden_by_default; missing_verified_cutoff_row,Resolve listed issues before public scoring.,https://www.djsce.ac.in/docs/placements/placement%2024-25%20report%20-%2004-08-25.pdf | https://www.djsce.ac.in/docs/ILS%20FE%20Admissions%202025-26%20Fees%20Notice.pdf
PROG-V5-009,"Walchand College of Engineering, Sangli",Computer Science and Engineering,no,PARTIAL_NOT_PUBLIC,hidden_by_default; missing_verified_cutoff_row,Resolve listed issues before public scoring.,https://walchandsangli.ac.in/wp-content/uploads/Student-Placement.pdf | https://walchandsangli.ac.in/student-careers/career-development-cell/placement-in-wce/
PROG-V5-010,PCCOE Pune,Computer Engineering,no,PARTIAL_NOT_PUBLIC,hidden_by_default; missing_verified_cutoff_row,Resolve listed issues before public scoring.,https://computer.pccoepune.com/placements | https://www.pccoepune.com/top-placement-engineering-college-in-pune.php
PROG-V5-011,VIT Pune,Computer Engineering,no,PARTIAL_NOT_PUBLIC,hidden_by_default; missing_verified_cutoff_row; placement_provisional,Resolve listed issues before public scoring.,https://www.vit.edu/computer/placements/ | https://www.vit.edu/placement/
PROG-V5-012,VIT Pune,AI & DS,no,PARTIAL_NOT_PUBLIC,hidden_by_default; missing_verified_cutoff_row; placement_provisional,Resolve listed issues before public scoring.,https://www.vit.edu/AIDSC/placements/
PROG-V5-013,IIIT Nagpur,B.Tech CSE / overall,no,PARTIAL_NOT_PUBLIC,hidden_by_default; missing_verified_cutoff_row,Resolve listed issues before public scoring.,https://iiitn.ac.in/media/916fc986a2a34669ab3760b1e1c6a36a.pdf | https://www.iiitn.ac.in/placements/statistics
PROG-V5-014,IIIT Pune,B.Tech CSE,no,PARTIAL_NOT_PUBLIC,hidden_by_default; missing_verified_cutoff_row; placement_provisional,Resolve listed issues before public scoring.,https://placements.iiitp.ac.in/Placement.html | https://www.shiksha.com/college/iiit-pune-indian-institute-of-information-technology-kondhwa-53859/placement
PROG-V5-015,PICT Pune,Computer/IT/AI-DS,no,PARTIAL_NOT_PUBLIC,hidden_by_default; missing_verified_cutoff_row; placement_not_score_ready,Resolve listed issues before public scoring.,https://fe2025.mahacet.org/CAP-I/CAPR-I_06271.pdf | https://www.kollegeapply.com/college/pune-institute-of-computer-technology-society-for-computer-technology-and-research-pune-placement
